modality,n_features,task,model,fold,test_subject,accuracy,f1_macro
Wrist only,5,binary,LogReg,6,7,0.8855721393034826,0.8735399513089148
Wrist only,5,binary,RandomForest,6,7,0.9701492537313433,0.9640128909047505
Wrist only,5,binary,LogReg,7,8,0.896551724137931,0.8616133744521993
Wrist only,5,binary,RandomForest,7,8,0.8866995073891626,0.8463791004507617
Wrist only,5,binary,LogReg,8,9,0.7920792079207921,0.6596598202824133
Wrist only,5,binary,RandomForest,8,9,0.9207920792079208,0.8936842105263157
Wrist only,5,binary,LogReg,9,10,0.4784688995215311,0.46594931664205175
Wrist only,5,binary,RandomForest,9,10,0.6555023923444976,0.6553051126992853
Wrist only,5,binary,LogReg,10,11,1.0,1.0
Wrist only,5,binary,RandomForest,10,11,0.9951219512195122,0.9942456140350877
Wrist only,5,binary,LogReg,11,13,0.45588235294117646,0.4461809377063614
Wrist only,5,binary,RandomForest,11,13,0.36764705882352944,0.33530347806319616
Wrist only,5,binary,LogReg,12,14,0.9950980392156863,0.9941805733846811
Wrist only,5,binary,RandomForest,12,14,0.7009803921568627,0.41210374639769454
Wrist only,5,binary,LogReg,13,15,0.6439024390243903,0.5327088212334115
Wrist only,5,binary,RandomForest,13,15,0.8292682926829268,0.7528333735230287
Wrist only,5,binary,LogReg,14,16,0.9852941176470589,0.9828508980861379
Wrist only,5,binary,RandomForest,14,16,1.0,1.0
Wrist only,5,binary,LogReg,15,17,0.9665071770334929,0.9617065829079964
Wrist only,5,binary,RandomForest,15,17,0.9569377990430622,0.948160396858206
Heart only (HR/HRV),9,3class,LogReg,1,2,0.6597938144329897,0.6070658036677454
Heart only (HR/HRV),9,3class,RandomForest,1,2,0.7268041237113402,0.5219409749088095
Heart only (HR/HRV),9,3class,LogReg,2,3,0.5329949238578681,0.5025951144372197
Heart only (HR/HRV),9,3class,RandomForest,2,3,0.8071065989847716,0.5902443560949525
Heart only (HR/HRV),9,3class,LogReg,3,4,0.7474747474747475,0.5930825663598772
Heart only (HR/HRV),9,3class,RandomForest,3,4,0.7929292929292929,0.593476413874626
Heart only (HR/HRV),9,3class,LogReg,4,5,0.3645320197044335,0.400909681611436
